filename,label
Autumn Leaves.m4a,hiphop
"AVE MARIA SCHUBERT (Arr. for SATB Choir, String Quartet and Harp).m4a",classical
Baby O'riley.m4a,rock
Baby One More Time.m4a,hiphop
Bad.m4a,disco
Bam Bam.m4a,blues
Beat It.m4a,disco
Before You Go.m4a,hiphop
Billy Jean.m4a,disco
Bodak Yellow.m4a,hiphop
Body And Soul.m4a,jazz
Bohemian Rhapsody (Remastered 2011).m4a,reggae
Born Under A Bad Sign.m4a,rock
California Love (Original Version).m4a,hiphop
Call Me Maybe.m4a,hiphop
Catfish Blues.m4a,blues
Chattahoochee.m4a,hiphop
Check Yes Or No.m4a,rock
Comfortably Numb.m4a,rock
Dear Mama.m4a,hiphop
Debussy - Clair De Lune.m4a,classical
Enter Sandman.m4a,rock
Evil (Is Going On).m4a,hiphop
Fight The Power.m4a,hiphop
Fly Me To The Moon.m4a,blues
Funk #49.m4a,rock
Fur Elise - Beethoven.m4a,classical
Georgia On My Mind.m4a,jazz
Get Down Tonight (Original Long Version).m4a,disco
Going Back to My Roots.m4a,disco
Hallowed Be Thy Name (1998 Remaster).m4a,rock
Have Mercy.m4a,pop
Heart Of Glass.m4a,disco
Here You Come Again.m4a,country
Hold Me Tight.m4a,country
Holy Wars...The Punishment Due.m4a,metal
How Do You Like Me Now-!.m4a,disco
"Hungarian Rhapsody, S. 244, R.106, No. 2 in C-Sharp Minor.m4a",classical
I Feel Love.m4a,disco
I Love Rock 'N Roll.m4a,hiphop
I Shot the Sheriff (Surf Style).m4a,rock
I Want It That Way.m4a,rock
I Will Always Love You.m4a,country
I'm Tore Down.m4a,disco
Iron Man.m4a,disco
It Don’T Mean a Thing (If It Ain’T Got That Swing).m4a,reggae
It's Just a Matter of Time.m4a,country
It's Your Love (A Tribute to Tim Mcgraw and Faith Hill).m4a,country
Juicy.m4a,hiphop
Legalize It.m4a,pop
Live Like You Were Dying.m4a,country
Lose Yourself (From '8 Mile' Soundtrack).m4a,hiphop
Lost Ones.m4a,hiphop
Love Hangover.m4a,rock
Many Rivers To Cross.m4a,blues
Master Of Puppets.m4a,metal
Me Myself and I.m4a,disco
Mind Playing Tricks on Me.m4a,hiphop
Moonlight Sonata (Solo Piano).m4a,classical
Mozart - Eine Kleine Nachtmusik Mozart Instrumental Piano Music.m4a,classical
Ms. Jackson REMIX.m4a,blues
My Babe.m4a,country
My Hang-Up Is You.m4a,country
Night Fever (Bee Gees).m4a,disco
Nobody Knows You When You’re Down And Out.m4a,blues
Nocturne Op 9 No 2.m4a,jazz
Now That We've Found Love - A Tribute to Third World.m4a,reggae
One Love.m4a,reggae
One.m4a,rock
Painkiller.m4a,metal
Paranoid.m4a,rock
Poker Face.m4a,pop
Purple Haze.m4a,disco
Purple Rain.m4a,disco
Ride of the Valkyries.m4a,classical
Ring My Bell.m4a,rock
Round Midnight.m4a,jazz
Smokestack Lightnin'.m4a,country
Straight No Chaser.m4a,jazz
Summertime.m4a,country
Sympathy For The Devil.m4a,disco
Talk About Love.m4a,blues
The Bluest Blues.m4a,country
The Boys Are Back In Town.m4a,rock
The Four Seasons.m4a,classical
The Girl From Ipanema.m4a,blues
The Thrill Is Gone.m4a,blues
The Tide Is High.m4a,reggae
The Trooper (1998 Remaster).m4a,rock
Thousand Finger Man.m4a,disco
Three Little Birds.m4a,reggae
Thriller.m4a,disco
"Toccata & Fugue D Minor, BWV 565.m4a",classical
Under Pressure (Remastered 2011).m4a,disco
War Pigs.m4a,rock
Whole Lotta Love (2007 Remastered Version).m4a,hiphop
Working Man.m4a,rock
You Make Me Feel (Mighty Real).m4a,rock
Zanzibar.m4a,hiphop
uploaded_audio_file.wav,jazz
